Mouse,Manipulation,EPSP_5V
1,Con,1.96
2,Con,1.6917463
3,Con,1.508491982
3,Con,7.68
3,Con,2.18
3,Con,4.07
3,Con,2.12
3,Con,4.31
4,TeLC,0
4,TeLC,0.03
5,TeLC,0.03
5,TeLC,0
6,TeLC,0.05
6,TeLC,0.04
7,TeLC,0
7,TeLC,0.02
