# Genotype, Mouse, Day, Beaconed, Probe
lTeLC,6,18.0,10.772205283646805,15.490945209105657
lTeLC,6,19.0,14.927702378905217,15.81469392509844
lTeLC,7,1.0,-1.9867051491080043,nan
lTeLC,7,2.0,-0.3897320277508405,nan
lTeLC,7,3.0,5.4724044445336055,nan
lTeLC,7,4.0,12.708072360921637,nan
lTeLC,7,5.0,11.500727437722762,nan
lTeLC,7,6.0,14.408235254084477,nan
lTeLC,7,7.0,16.035593241539672,nan
lTeLC,7,8.0,16.61231768612156,15.532434467580522
lTeLC,7,9.0,14.444017597729353,17.242331319301552
lTeLC,7,10.0,16.112332388967104,17.014300969814332
lTeLC,7,11.0,16.4220701856225,20.379046487078647
lTeLC,7,12.0,20.210863731323393,23.008612335671607
lTeLC,7,13.0,16.175676699531653,16.832469918883927
lTeLC,7,14.0,17.185370370378305,19.165430687809778
lTeLC,7,15.0,15.727569285262312,20.48871697460115
lTeLC,7,16.0,15.314930460463064,10.06850887899519
lTeLC,7,17.0,17.105918742685425,15.97897211402501
lTeLC,7,18.0,6.302533796694169,10.23167451263445
lTeLC,7,19.0,6.69243037267233,11.21708264119709
lTeLC,8,1.0,4.9564716779723685,nan
lTeLC,8,2.0,4.980266207542943,nan
lTeLC,8,3.0,6.1496732851168305,nan
lTeLC,8,4.0,1.7348124648207452,nan
lTeLC,8,5.0,1.1986834269599507,nan
lTeLC,8,6.0,3.891329803119933,nan
lTeLC,8,7.0,6.406367041849257,nan
lTeLC,8,8.0,8.059001175010762,nan
lTeLC,8,9.0,9.319084317561632,nan
lTeLC,8,10.0,15.567164618969791,nan
lTeLC,8,11.0,13.872583038802489,nan
lTeLC,8,12.0,11.346809756379487,12.917534026844626
lTeLC,8,13.0,11.462235248406541,14.168904125963179
lTeLC,8,14.0,19.450946309457578,1.6238573796939022
lTeLC,8,15.0,12.474168319511202,5.366766255370276
lTeLC,8,16.0,12.149923672759908,15.928329018043302
lTeLC,8,17.0,11.949618929603155,11.208213268736
lTeLC,8,18.0,11.303368786559968,11.521160378365272
lTeLC,8,19.0,10.373801133420928,13.998979172300027
lTeLC,9,1.0,-1.7499905787372318,nan
lTeLC,9,2.0,4.724133983145349,nan
lTeLC,9,3.0,2.708060631466915,nan
lTeLC,9,4.0,-4.490499769994996,nan
lTeLC,9,5.0,0.4704987630384574,nan
lTeLC,9,6.0,-1.8475106915325044,nan
lTeLC,9,7.0,-1.5481297939902778,nan
lTeLC,9,8.0,0.2210492070050769,nan
lTeLC,9,9.0,9.186998137923123,nan
lTeLC,9,10.0,7.973803779136009,nan
lTeLC,9,11.0,11.450638924090672,-0.31046079874342425
lTeLC,9,12.0,14.759257505735533,7.211451154156234
lTeLC,9,13.0,16.39692613402612,17.22918536422531
lTeLC,9,14.0,14.680540321652934,15.218193768945767
lTeLC,9,15.0,10.865058374762508,12.828804918298548
lTeLC,9,16.0,22.690624546411886,22.224118253013746
lTeLC,9,17.0,22.167733598221865,22.69285535255277
lTeLC,9,18.0,17.43393405193188,17.017349552311142
lTeLC,9,19.0,16.35645926799071,19.677812049709573
lTeLC,10,1.0,1.5261941663952379,nan
lTeLC,10,2.0,2.6746282710268563,nan
lTeLC,10,3.0,1.3578823168928253,nan
lTeLC,10,4.0,0.5445092858497648,nan
lTeLC,10,5.0,1.3543030368524132,nan
lTeLC,10,6.0,5.372289834415305,nan
lTeLC,10,7.0,9.100328037955505,nan
lTeLC,10,8.0,13.944995217066793,nan
lTeLC,10,9.0,13.573000341501054,7.6292030550346395
lTeLC,10,10.0,18.96174788302429,20.851550926563725
lTeLC,10,11.0,16.621196287481744,23.65729432340867
lTeLC,10,12.0,10.76975922211499,18.011965569430387
lTeLC,10,13.0,5.045793275225484,4.3394445413942595
lTeLC,10,14.0,10.146661018760884,12.063587100204712
lTeLC,10,15.0,3.3368157075281624,2.5341862489056806
lTeLC,10,16.0,1.2700392900721102,7.497363703918889
lTeLC,10,17.0,4.205469303039954,5.789175321289226
lTeLC,10,18.0,3.586587183720929,11.7538983510264
lTeLC,10,19.0,0.027266319515945703,3.465899811188355
GFP,11,1.0,0.8140440339867243,nan
GFP,11,2.0,1.3231004554956578,nan
GFP,11,3.0,0.9942349795717331,nan
GFP,11,4.0,3.8757674843855274,nan
GFP,11,5.0,2.882172873401754,nan
GFP,11,6.0,4.667177111574399,nan
GFP,11,7.0,8.150065827139082,nan
GFP,11,8.0,0.05683469738768171,nan
GFP,11,9.0,3.4484457055863373,17.21751415381713
GFP,11,10.0,3.3295434136035387,6.556738864826049
GFP,11,11.0,0.24891824885943298,nan
GFP,11,12.0,3.7798021742440593,8.035998064345184
GFP,11,13.0,16.731763839726952,14.891245244111133
GFP,11,14.0,17.502723421204017,12.568094616023187
GFP,11,15.0,20.82058260234468,28.55601710833635
GFP,11,16.0,17.987085429918153,17.846177244289528
GFP,11,17.0,-14.103424314241158,20.105395619056406
GFP,11,18.0,7.192841756318693,14.857165875730992
GFP,11,19.0,-2.8348567516593866,6.8510628591462766
GFP,12,1.0,0.06320046627758136,nan
GFP,12,2.0,4.983756299017255,nan
GFP,12,3.0,3.6664737321903598,nan
GFP,12,4.0,5.332992862547814,nan
GFP,12,5.0,4.504152982499861,nan
GFP,12,6.0,12.073478742426595,nan
GFP,12,7.0,12.070806614505388,nan
GFP,12,8.0,13.710810920675232,nan
GFP,12,9.0,13.58893899649072,17.21751415381713
GFP,12,10.0,4.056298504358583,6.556738864826049
GFP,12,11.0,2.87175242019935,nan
GFP,12,12.0,-0.8834475864806124,8.035998064345184
GFP,12,13.0,16.261454004472842,14.891245244111133
GFP,12,14.0,12.035436090806977,12.568094616023187
GFP,12,15.0,26.76158952069177,28.55601710833635
GFP,12,16.0,16.62984492021901,17.846177244289528
GFP,12,17.0,17.81154773071418,20.105395619056406
GFP,12,18.0,13.773821011817539,14.857165875730992
GFP,12,19.0,2.6816698971255257,6.8510628591462766
GFP,13,1.0,5.114518284726232,nan
GFP,13,2.0,1.6480756798476839,nan
GFP,13,3.0,-1.8153014407987875,nan
GFP,13,4.0,6.760260656728098,nan
GFP,13,5.0,6.786612495398856,nan
GFP,13,6.0,6.022442065008127,nan
GFP,13,7.0,4.634775064311487,4.932703751936943
GFP,13,8.0,3.7827015886485187,7.923671804327947
GFP,13,9.0,7.551018704806374,8.182379446709685
GFP,13,10.0,10.592381212313146,13.33967543039692
GFP,13,11.0,11.462256687953495,21.600184729050028
GFP,13,12.0,3.550702201867089,-6.423491108819888
GFP,13,13.0,9.553032350522798,5.210519668354888
GFP,13,14.0,16.641375572549087,19.293585161601836
GFP,13,15.0,19.473937775374974,20.444665141246457
GFP,13,16.0,18.425509751515676,21.628494859023444
GFP,13,17.0,18.34619129744847,18.50816994333524
GFP,13,18.0,15.208805777557705,17.629829720619554
GFP,13,19.0,8.366548774204658,10.934902182223887
GFP,14,1.0,-1.3201029016912946,nan
GFP,14,2.0,-0.37903102830937757,nan
GFP,14,3.0,-2.2794682901748033,nan
