# Genotype, Mouse, Day, Beaconed, Probe
lTeLC,8,13.0,nan,nan
lTeLC,8,14.0,nan,nan
lTeLC,8,15.0,nan,nan
lTeLC,8,16.0,nan,nan
lTeLC,8,17.0,nan,nan
lTeLC,8,18.0,nan,nan
lTeLC,8,19.0,nan,nan
lTeLC,9,1.0,11.039091046929377,nan
lTeLC,9,2.0,16.454505591753293,nan
lTeLC,9,3.0,19.570344081789134,nan
lTeLC,9,4.0,18.003234915186493,nan
lTeLC,9,5.0,19.108515844844167,nan
lTeLC,9,6.0,24.288027854474773,nan
lTeLC,9,7.0,31.44962599142342,nan
lTeLC,9,8.0,43.112211369891824,nan
lTeLC,9,9.0,43.40334019267803,nan
lTeLC,9,10.0,37.721157516751774,nan
lTeLC,9,11.0,50.41682534811877,44.62985203267803
lTeLC,9,12.0,45.15055249877528,38.84936831051046
lTeLC,9,13.0,42.95197017618391,43.29327824527266
lTeLC,9,14.0,50.75478913760518,45.704304346684175
lTeLC,9,15.0,43.6162435989326,48.91842455584803
lTeLC,9,16.0,53.182013972967994,54.16013946514761
lTeLC,9,17.0,56.831658044995365,48.28124019542314
lTeLC,9,18.0,57.063612137723695,55.5333337551748
lTeLC,9,19.0,50.95987146981271,40.8064010561382
lTeLC,10,1.0,16.18180621745017,nan
lTeLC,10,2.0,19.84925554762693,nan
lTeLC,10,3.0,22.640174841641905,nan
lTeLC,10,4.0,18.683542559381337,nan
lTeLC,10,5.0,24.70470154691818,nan
lTeLC,10,6.0,29.436112361623046,nan
lTeLC,10,7.0,30.44563156023174,nan
lTeLC,10,8.0,37.380882358948355,nan
lTeLC,10,9.0,40.58910463879447,30.92691347255576
lTeLC,10,10.0,38.72001053214839,25.00683796487838
lTeLC,10,11.0,31.19224541680252,30.77156142408053
lTeLC,10,12.0,21.801081992972918,35.317331038081406
lTeLC,10,13.0,22.480106499752072,31.699905908888276
lTeLC,10,14.0,17.3417618564145,16.99642137347282
lTeLC,10,15.0,14.551804496592522,24.01283355715551
lTeLC,10,16.0,19.828429833377882,14.419322350579748
lTeLC,10,17.0,22.65160247148858,11.14337416329701
lTeLC,10,18.0,19.70095911451812,20.456698067195088
lTeLC,10,19.0,25.77706878338386,20.555566798904866
GFP,11,1.0,13.940763507020183,nan
GFP,11,2.0,11.998300296502492,nan
GFP,11,3.0,11.350489098068618,nan
GFP,11,4.0,10.70754364624798,nan
GFP,11,5.0,8.663257775177211,nan
GFP,11,6.0,31.255699520745146,nan
GFP,11,7.0,11.598778442880324,16.503234922022443
GFP,11,8.0,10.189304044680224,7.556867060343727
GFP,11,9.0,11.098690742340443,7.7675656192684706
GFP,11,10.0,32.33118897310618,3.639824696599633
GFP,11,11.0,9.173717298606684,6.346894458271825
GFP,11,12.0,13.125106634877811,12.141299329530558
GFP,11,13.0,36.23822512594613,32.1090922681338
GFP,11,14.0,38.59466036367897,34.135621166853475
GFP,11,15.0,44.038999806402515,37.272446591086734
GFP,11,16.0,39.71740250591908,35.735839647594815
GFP,11,17.0,2.3156584954868777,nan
GFP,11,18.0,24.24703195915773,23.213617115999156
GFP,11,19.0,18.88496539427535,29.513899346733076
GFP,12,1.0,18.629289362903748,nan
GFP,12,2.0,14.627622229895625,nan
GFP,12,3.0,11.416928235665518,nan
GFP,12,4.0,15.668502304746045,nan
GFP,12,5.0,17.48105596555178,nan
GFP,12,6.0,23.255484772555818,nan
GFP,12,7.0,30.016068578472627,nan
GFP,12,8.0,20.11088784335635,nan
GFP,12,9.0,16.3371926972279,11.398163555327399
GFP,12,10.0,12.341720367926515,4.311017756432458
GFP,12,11.0,7.093869522156163,nan
GFP,12,12.0,14.46553182743752,8.242965732774161
GFP,12,13.0,28.01132134205512,28.955755736132158
GFP,12,14.0,40.2137597414589,35.57919553106125
GFP,12,15.0,47.53631378891279,41.0782763008731
GFP,12,16.0,43.30589722973389,42.24427757627346
GFP,12,17.0,42.65831424607346,41.886077364294806
GFP,12,18.0,41.30832590973621,36.61975749901296
GFP,12,19.0,31.11627338011069,9.938617217709902
GFP,13,1.0,10.165529295396286,nan
GFP,13,2.0,12.32375696880479,nan
GFP,13,3.0,17.512773729667813,nan
GFP,13,4.0,23.47976849790452,nan
GFP,13,5.0,19.79341090739107,nan
GFP,13,6.0,17.6947437861663,nan
GFP,13,7.0,21.32430404937664,11.748865484084115
GFP,13,8.0,22.975445465246295,22.693359835019198
GFP,13,9.0,17.29620784030582,12.268235636186807
GFP,13,10.0,20.43779434144767,24.368617462589164
GFP,13,11.0,12.948275481134417,15.814639385871054
GFP,13,12.0,18.337469177078145,21.048534779209692
GFP,13,13.0,15.61647096871063,14.77954564635688
GFP,13,14.0,21.096621519437537,24.605876471274186
GFP,13,15.0,26.72907502178244,27.4490695301443
GFP,13,16.0,30.741385486120173,23.442764146598847
GFP,13,17.0,29.97436800206239,12.434719838775248
GFP,13,18.0,31.336482040653856,23.38562857638404
GFP,13,19.0,24.7127031163897,21.477585063464094
GFP,14,1.0,10.71740961554542,nan
GFP,14,2.0,13.823723801522782,nan
GFP,14,3.0,16.863318656708532,nan
GFP,14,4.0,22.617894560601165,nan
GFP,14,5.0,34.20018879818695,nan
GFP,14,6.0,36.80005077376346,nan
GFP,14,7.0,18.380707500192347,10.07319345049762
GFP,14,8.0,33.48630958718526,8.842047768860597
GFP,14,9.0,33.6641841843561,11.265065754204752
GFP,14,10.0,35.37705400745406,17.887070406299323
GFP,14,11.0,36.93359428532165,27.138815632261423
GFP,14,12.0,39.489098501726346,33.80461408962555
GFP,14,13.0,42.31936119994119,32.74982187136112
GFP,14,14.0,37.97326352391632,32.318999527606536
GFP,14,15.0,34.517605057363085,31.568838716034335
GFP,14,16.0,26.994364536813457,17.182197849325604
GFP,14,17.0,27.374485408154626,25.85993065042963
GFP,14,18.0,30.170341662938906,34.33710754453897
GFP,14,19.0,22.30501003294981,17.560996899824083
GFP,15,1.0,13.626015904214945,nan
GFP,15,2.0,24.80101604055168,nan
GFP,15,3.0,31.850617309914163,nan
