# Mouse, Day, Trialtype, Location (cm)
4,11,2,    43.925
4,12,2,    55.049
4,13,2,    41.354
4,14,2,    66.212
4,15,2,    68.806
4,16,2,    58.966
4,17,2,    74.416
4,18,2,    84.722
4,19,2,    80.420
4,20,2,    78.171
4,21,2,    78.961
4,22,2,    85.795
5,1,2,    40.700
5,2,2,    51.449
5,3,2,    57.900
5,4,2,    41.622
5,5,2,    52.025
5,6,2,    44.704
5,7,2,    52.247
5,8,2,    52.696
5,9,2,    60.328
5,10,2,    51.203
5,11,2,    55.860
5,12,2,    52.007
5,13,2,    62.454
5,14,2,    74.289
5,15,2,    49.360
5,16,2,    73.921
5,17,2,    76.246
5,18,2,    65.242
5,19,2,    67.012
5,20,2,    78.367
5,21,2,    81.348
5,22,2,       nan
6,1,2,    44.629
6,2,2,    39.903
6,3,2,    51.710
6,4,2,    71.266
6,5,2,    41.815
6,6,2,    47.863
6,7,2,    51.436
6,8,2,    43.342
6,9,2,    38.882
6,10,2,    83.583
6,11,2,    72.109
6,12,2,    82.506
6,13,2,    93.399
6,14,2,    67.408
6,15,2,    64.407
6,16,2,    66.399
6,17,2,    65.588
6,18,2,    63.691
6,19,2,    60.831
6,20,2,    91.798
6,21,2,    85.749
6,22,2,    73.671
7,1,2,    51.059
7,2,2,    46.230
7,3,2,    46.714
7,4,2,    33.950
7,5,2,    58.926
7,6,2,    44.030
7,7,2,    58.282
7,8,2,    41.939
7,9,2,    46.467
7,10,2,    62.944
7,11,2,    80.754
7,12,2,    66.130
7,13,2,    67.257
7,14,2,    57.437
7,15,2,    68.790
7,16,2,    64.524
7,17,2,    53.239
7,18,2,    63.177
7,19,2,    54.794
7,20,2,    60.225
7,21,2,    69.211
7,22,2,    58.067
8,1,2,    34.488
8,2,2,    42.318
8,3,2,    50.818
8,4,2,    45.837
8,5,2,    64.364
8,6,2,    41.150
8,7,2,    59.671
8,8,2,    53.340
8,9,2,    41.338
8,10,2,    63.493
8,11,2,    53.085
8,12,2,    44.919
8,13,2,    69.921
8,14,2,    51.951
8,15,2,    42.623
8,16,2,    44.028
8,17,2,    44.103
8,18,2,    53.639
8,19,2,    59.197
8,20,2,    69.741
8,21,2,    82.014
8,22,2,    39.850
1,1,3,       nan
1,2,3,       nan
1,3,3,       nan
1,4,3,       nan
1,5,3,       nan
1,6,3,       nan
1,7,3,       nan
1,8,3,       nan
1,9,3,       nan
1,10,3,       nan
1,11,3,       nan
1,12,3,       nan
1,13,3,       nan
1,14,3,       nan
1,15,3,       nan
1,16,3,       nan
1,17,3,       nan
1,18,3,       nan
1,19,3,       nan
1,20,3,    75.759
1,21,3,    78.969
1,22,3,    81.635
2,1,3,       nan
2,2,3,       nan
2,3,3,       nan
2,4,3,       nan
2,5,3,       nan
2,6,3,       nan
2,7,3,       nan
2,8,3,       nan
2,9,3,       nan
2,10,3,       nan
2,11,3,       nan
2,12,3,       nan
2,13,3,       nan
2,14,3,       nan
2,15,3,    75.468
2,16,3,    63.798
2,17,3,    70.444
2,18,3,    78.937
2,19,3,    67.475
2,20,3,    97.031
2,21,3,   105.723
2,22,3,    90.200
3,1,3,       nan
3,2,3,       nan
3,3,3,       nan
3,4,3,       nan
3,5,3,       nan
3,6,3,       nan
3,7,3,       nan
3,8,3,       nan
3,9,3,       nan
3,10,3,       nan
3,11,3,       nan
3,12,3,       nan
3,13,3,       nan
3,14,3,       nan
3,15,3,       nan
3,16,3,       nan
3,17,3,       nan
3,18,3,       nan
3,19,3,       nan
3,20,3,       nan
3,21,3,       nan
3,22,3,       nan
4,1,3,       nan
4,2,3,       nan
4,3,3,       nan
4,4,3,       nan
4,5,3,       nan
4,6,3,       nan
4,7,3,       nan
4,8,3,       nan
4,9,3,       nan
4,10,3,       nan
4,11,3,       nan
4,12,3,       nan
4,13,3,       nan
4,14,3,       nan
4,15,3,       nan
4,16,3,       nan
4,17,3,       nan
4,18,3,       nan
4,19,3,       nan
4,20,3,       nan
4,21,3,       nan
4,22,3,    84.861
5,1,3,       nan
5,2,3,       nan
5,3,3,       nan
5,4,3,       nan
5,5,3,       nan
5,6,3,       nan
5,7,3,       nan
5,8,3,       nan
5,9,3,       nan
5,10,3,       nan
5,11,3,       nan
5,12,3,       nan
5,13,3,       nan
5,14,3,       nan
5,15,3,       nan
5,16,3,       nan
5,17,3,       nan
5,18,3,       nan
5,19,3,       nan
5,20,3,       nan
5,21,3,       nan
5,22,3,       nan
6,1,3,       nan
6,2,3,       nan
6,3,3,       nan
6,4,3,       nan
6,5,3,       nan
6,6,3,       nan
6,7,3,       nan
6,8,3,       nan
6,9,3,       nan
6,10,3,       nan
6,11,3,       nan
6,12,3,       nan
6,13,3,       nan
6,14,3,       nan
6,15,3,       nan
6,16,3,       nan
6,17,3,       nan
6,18,3,       nan
6,19,3,       nan
6,20,3,       nan
6,21,3,       nan
6,22,3,       nan
7,1,3,       nan
7,2,3,       nan
7,3,3,       nan
7,4,3,       nan
7,5,3,       nan
7,6,3,       nan
7,7,3,       nan
7,8,3,       nan
7,9,3,       nan
7,10,3,       nan
7,11,3,       nan
7,12,3,       nan
7,13,3,       nan
7,14,3,       nan
7,15,3,    50.560
7,16,3,    54.804
7,17,3,    80.012
7,18,3,    38.933
7,19,3,    78.910
7,20,3,    72.196
7,21,3,    72.667
7,22,3,    52.724
8,1,3,       nan
8,2,3,       nan
8,3,3,       nan
8,4,3,       nan
8,5,3,       nan
8,6,3,       nan
8,7,3,       nan
8,8,3,       nan
8,9,3,       nan
8,10,3,       nan
8,11,3,       nan
8,12,3,       nan
8,13,3,       nan
8,14,3,       nan
8,15,3,       nan
8,16,3,       nan
8,17,3,       nan
8,18,3,       nan
8,19,3,       nan
8,20,3,       nan
8,21,3,       nan
8,22,3,    43.092
