# Ratio,Trial, Mouse
0.619682539683,3.0,1.0
0.560714285714,3.0,2.0
0.831746031746,3.0,3.0
0.8,3.0,4.0
0.933333333333,3.0,5.0
0.380831847891,4.0,1.0
0.435952380952,4.0,2.0
0.19797979798,4.0,3.0
0.495714285714,4.0,4.0
0.296666666667,4.0,5.0
