Mouse,Virus,Discrimination index
1,GFP,0.572745129
2,GFP,0.60831955
3,TeLC,0.162049756
4,TeLC,0.3537955
5,GFP,0.319093228
6,GFP,0.536236406
7,TeLC,0.322248412
8,TeLC,0.488232074
9,TeLC,0.292975061
10,GFP,0.19800046
11,GFP,0.287150154
12,TeLC,0.110794236
13,TeLC,0.307205298
14,GFP,0.330465862
15,TeLC,0.375963321
16,GFP,0.311727391
